name,threads,n,run,duration
mpi-pi++,4,8,6,0.0225898
cpp11-pi,4,8,7,0.00205
openMP-pi,4,8,7,0.003571
mpi-pi,4,8,7,0.02272477
mpi-pi++,4,8,7,0.0219458
cpp11-pi,4,8,8,0.002136
openMP-pi,4,8,8,0.003371
mpi-pi,4,8,8,0.02191669
mpi-pi++,4,8,8,0.0227843
cpp11-pi,4,8,9,0.002059
openMP-pi,4,8,9,0.010465
mpi-pi,4,8,9,0.01198064
mpi-pi++,4,8,9,0.0225749
cpp11-pi,4,8,10,0.002151
openMP-pi,4,8,10,0.006919
mpi-pi,4,8,10,0.02201114
mpi-pi++,4,8,10,0.0119695
cpp11-pi,8,8,1,0.001986
openMP-pi,8,8,1,0.003218
mpi-pi,8,8,1,0.03117769
mpi-pi++,8,8,1,0.0310408
cpp11-pi,8,8,2,0.001978
openMP-pi,8,8,2,0.013755
mpi-pi,8,8,2,0.02224656
mpi-pi++,8,8,2,0.0312493
cpp11-pi,8,8,3,0.001979
openMP-pi,8,8,3,0.004207
mpi-pi,8,8,3,0.02151798
mpi-pi++,8,8,3,0.0314397
cpp11-pi,8,8,4,0.001463
openMP-pi,8,8,4,0.0052
mpi-pi,8,8,4,0.03116500
mpi-pi++,8,8,4,0.0312527
cpp11-pi,8,8,5,0.001554
openMP-pi,8,8,5,0.003708
mpi-pi,8,8,5,0.03179551
mpi-pi++,8,8,5,0.0311968
cpp11-pi,8,8,6,0.001966
openMP-pi,8,8,6,0.001458
mpi-pi,8,8,6,0.03130100
mpi-pi++,8,8,6,0.0324505
cpp11-pi,8,8,7,0.00198
openMP-pi,8,8,7,0.005426
mpi-pi,8,8,7,0.03126161
mpi-pi++,8,8,7,0.0316201
cpp11-pi,8,8,8,0.002012
openMP-pi,8,8,8,0.006862
mpi-pi,8,8,8,0.03106294
mpi-pi++,8,8,8,0.0310435
cpp11-pi,8,8,9,0.001114
openMP-pi,8,8,9,0.001539
mpi-pi,8,8,9,0.03143195
mpi-pi++,8,8,9,0.0310952
cpp11-pi,8,8,10,0.001241
openMP-pi,8,8,10,0.001607
mpi-pi,8,8,10,0.03125119
mpi-pi++,8,8,10,0.0213848
cpp11-pi,1,16,1,0.016028
openMP-pi,1,16,1,0.020167
mpi-pi,1,16,1,0.01580900
mpi-pi++,1,16,1,0.016303
cpp11-pi,1,16,2,0.01638
openMP-pi,1,16,2,0.023942
mpi-pi,1,16,2,0.01466017
mpi-pi++,1,16,2,0.0143149
cpp11-pi,1,16,3,0.014608
openMP-pi,1,16,3,0.015688
mpi-pi,1,16,3,0.01434819
mpi-pi++,1,16,3,0.0141937
cpp11-pi,1,16,4,0.028353
openMP-pi,1,16,4,0.017015
mpi-pi,1,16,4,0.01439294
mpi-pi++,1,16,4,0.0224682
cpp11-pi,1,16,5,0.015144
openMP-pi,1,16,5,0.017041
mpi-pi,1,16,5,0.01446382
mpi-pi++,1,16,5,0.0150881
cpp11-pi,1,16,6,0.015518
openMP-pi,1,16,6,0.03446
mpi-pi,1,16,6,0.01444075
mpi-pi++,1,16,6,0.0156829
cpp11-pi,1,16,7,0.014851
openMP-pi,1,16,7,0.020111
mpi-pi,1,16,7,0.01453366
mpi-pi++,1,16,7,0.0140535
cpp11-pi,1,16,8,0.025034
openMP-pi,1,16,8,0.017133
mpi-pi,1,16,8,0.01492103
mpi-pi++,1,16,8,0.0144332
cpp11-pi,1,16,9,0.014599
openMP-pi,1,16,9,0.01542
mpi-pi,1,16,9,0.01473991
mpi-pi++,1,16,9,0.0152477
cpp11-pi,1,16,10,0.014707
openMP-pi,1,16,10,0.015454
mpi-pi,1,16,10,0.01610128
mpi-pi++,1,16,10,0.0141323
cpp11-pi,2,16,1,0.016799
openMP-pi,2,16,1,0.012828
mpi-pi,2,16,1,0.01738041
mpi-pi++,2,16,1,0.0178376
cpp11-pi,2,16,2,0.007627
openMP-pi,2,16,2,0.012735
mpi-pi,2,16,2,0.01753236
mpi-pi++,2,16,2,0.0172043
cpp11-pi,2,16,3,0.007414
openMP-pi,2,16,3,0.00907
mpi-pi,2,16,3,0.01753961
mpi-pi++,2,16,3,0.0170813
cpp11-pi,2,16,4,0.011707
openMP-pi,2,16,4,0.010573
mpi-pi,2,16,4,0.00760157
mpi-pi++,2,16,4,0.0171193
cpp11-pi,2,16,5,0.015475
openMP-pi,2,16,5,0.020117
mpi-pi,2,16,5,0.00754096
mpi-pi++,2,16,5,0.017193
cpp11-pi,2,16,6,0.011666
openMP-pi,2,16,6,0.014578
mpi-pi,2,16,6,0.01730133
mpi-pi++,2,16,6,0.0170691
cpp11-pi,2,16,7,0.011412
openMP-pi,2,16,7,0.013826
mpi-pi,2,16,7,0.01726815
mpi-pi++,2,16,7,0.0172201
cpp11-pi,2,16,8,0.010202
openMP-pi,2,16,8,0.013288
mpi-pi,2,16,8,0.01753295
mpi-pi++,2,16,8,0.00731943
cpp11-pi,2,16,9,0.01234
openMP-pi,2,16,9,0.008541
mpi-pi,2,16,9,0.01711719
mpi-pi++,2,16,9,0.0197504
cpp11-pi,2,16,10,0.007854
openMP-pi,2,16,10,0.008937
mpi-pi,2,16,10,0.00736603
mpi-pi++,2,16,10,0.0206827
cpp11-pi,4,16,1,0.003992
openMP-pi,4,16,1,0.004367
mpi-pi,4,16,1,0.02375456
mpi-pi++,4,16,1,0.0236616
cpp11-pi,4,16,2,0.012355
openMP-pi,4,16,2,0.008774
mpi-pi,4,16,2,0.02353601
mpi-pi++,4,16,2,0.0251093
cpp11-pi,4,16,3,0.012793
openMP-pi,4,16,3,0.009215
mpi-pi,4,16,3,0.01756154
mpi-pi++,4,16,3,0.0137247
cpp11-pi,4,16,4,0.008062
